Country,Gender,Localized Name
CA,M,Benjamin
CA,M,Theodore
CA,M,Jack
CA,M,Thomas
CA,M,Logan
CA,M,Oliver
CA,F,Emma
CA,F,Olivia
CA,F,Charlotte
CA,F,Charlie
CA,F,Florence
CA,F,Alice
CA,F,Livia
CA,F,Rose
CA,F,Juliette
CA,M,Noah
CA,M,William
CA,M,Liam
CA,M,Thomas
CA,M,Leo
CA,M,Jacob
CA,M,Arthur
CA,M,Louis
CA,M,Nathan
CH,F,Mia
CH,F,Emma
CH,F,Elena
CH,F,Lina
CH,F,Mila
CH,F,Emilia
CH,F,Sofia
CH,F,Olivia
CH,F,Nora
CH,F,Alina
CH,M,Noah
CH,M,Liam
CH,M,Matteo
CH,M,Luca
CH,M,Gabriel
CH,M,Leon
CH,M,Elias
CH,M,Louis
CH,M,Lio
CH,M,Nino
CL,F,Emma
CL,F,Isabella
CL,F,Emilia
CL,F,Julieta
CL,F,Trinidad
CL,F,Isidora
CL,F,Agustina
CL,F,Josefa
CL,F,Mia
CL,M,Mateo
CL,M,Gaspar
CL,M,Santiago
CL,M,Lucas
CL,M,Liam
CL,M,Vicente
CL,M,Maximiliano
CO,F,Antonella
CO,F,Isabella
CO,F,Luciana
CO,F,Celeste
CO,F,Victoria
CO,F,Gabriela
CO,F,Mariana
CO,F,Julieta
CO,F,Guadalupe
CO,M,Emiliano
CO,M,Samuel
CO,M,Thiago
CO,M,Emmanuel
CO,M,Maximiliano
CO,M,Isaac
CO,M,Santiago
CZ,F,Anna
CZ,F,Tereza
CZ,F,Sofie
CZ,F,Viktorie
CZ,F,Ema
CZ,F,Julie
CZ,M,Jakub
CZ,M,Jan
CZ,M,Adam
CZ,M,Filip
CZ,M,Martin
DE,F,Emilia
DE,F,Mia
DE,F,Sophia
DE,F,Emma
DE,F,Hannah
DE,F,Lina
DE,F,Mila
DE,F,Ella
DE,F,Leni
DE,F,Clara
DE,M,Noah
DE,M,Matteo
DE,M,Elias
DE,M,Finn
DE,M,Leon
DE,M,Theo
DE,M,Paul
DE,M,Emil
DE,M,Henry
DE,M,Ben
DK,F,Ella
DK,F,Alma
DK,F,Nora
DK,F,Ida
DK,F,Freja
DK,F,Sofia
DK,F,Luna
DK,F,Olivia
DK,F,Agnes
DK,F,Asta
DK,F,Clara
DK,F,Emma
DK,F,Frida
DK,F,Alberte
DK,M,William
DK,M,Oscar
DK,M,Carl
DK,M,Malthe
DK,M,Emil
DK,M,Valdemar
DK,M,Noah
DK,M,Aksel
DK,M,August
DK,M,Theo
DZ,M,Omar
DZ,M,Abdelkader
DZ,M,Ahmed
DZ,M,Mohammed
DZ,M,Ali
DZ,M,Rachid
DZ,M,Said
DZ,M,Brahim
DZ,M,Omar
DZ,M,Djamel
DZ,F,Imene
DZ,F,Sara
DZ,F,Yasmine
DZ,F,Lyna
DZ,F,Maria
DZ,F,Amina
DZ,F,Meriem
DZ,F,Karima
DZ,F,Melissa
DZ,F,Lydia
EC,F,Danna
EC,F,Emma
EC,F,Emily
EC,F,Victoria
EC,F,Aitana
EC,F,Isabella
EC,M,Liam
EC,M,Thiago
EC,M,Dylan
EC,M,Ian
EC,M,Carlos
EC,M,Juan
EC,M,Luis
EC,M,Gael
EE,F,Sofia
EE,F,Mia
EE,F,Eva
EE,F,Lenna
EE,F,Marta
EE,F,Amelia
EE,F,Elli
EE,F,Maria
EE,F,Sandra
EE,F,Alisa
EE,M,Oskar
EE,M,Sebastian
EE,M,Mark
EE,M,Hugo
EE,M,Robin
EE,M,Martin
EE,M,David
EE,M,Lukas
EE,M,Aron
EE,M,Rasmus
EG,F,Mary
EG,F,Marie
EG,F,Mariam
EG,F,Marina
EG,F,Irene
EG,F,Malak
EG,F,Habiba
EG,F,Hana
EG,F,Farah
EG,F,Marwa
EG,F,Nada
EG,F,Salma
EG,M,Peter
EG,M,Pierre
EG,M,George
EG,M,John
EG,M,Mina
EG,M,Beshoi
EG,M,Kirollos
EG,M,Mark
EG,M,Fadi
EG,M,Habib
EG,F,Shaimaa
EG,F,Fatma
EG,F,Maha
EG,F,Reem
EG,F,Farida
EG,F,Aya
EG,F,Shahd
EG,F,Ashraqat
EG,F,Sahar
EG,F,Fatin
EG,F,Dalal
EG,F,Doha
EG,F,Fajr
EG,F,Suha
EG,F,Rowan
EG,F,Hosniya
EG,F,Hasnaa
EG,F,Hosna
EG,F,Gamila
EG,F,Gamalat
EG,F,Habiba
EG,M,Mohamed
EG,M,Youssef
EG,M,Ahmed
EG,M,Mahmoud
EG,M,Mustafa
EG,M,Yassin
EG,M,Taha
EG,M,Khaled
EG,M,Hamza
EG,M,Bilal
EG,M,Ibrahim
EG,M,Hassan
EG,M,Hussein
EG,M,Karim
EG,M,Tareq
EG,M,Ali
EG,M,Omar
EG,M,Halim
EG,M,Murad
EG,M,Selim
EG,M,Abdallah
ES,F,Ane
ES,F,Laia
ES,F,June
ES,F,Nahia
ES,F,Maddi
ES,F,Malen
ES,F,Nora
ES,F,Irati
ES,F,Izaro
ES,F,Sara
ES,M,Markel
ES,M,Julen
ES,M,Oihan
ES,M,Jon
ES,M,Aiur
ES,M,Aimar
ES,M,Ibai
ES,M,Luka
ES,M,Danel
ES,F,Martina
ES,F,Mia
ES,F,Emma
ES,F,Ona
ES,F,Laia
ES,F,Paula
ES,M,Marc
ES,M,Nil
ES,M,Pol
ES,M,Jan
ES,M,Leo
ES,M,Pau
ES,M,Marti
ES,M,Biel
ES,M,Hugo
ES,F,Martina
ES,F,Valeria
ES,F,Julia
ES,F,Paula
ES,F,Emma
ES,F,Daniela
ES,F,Carla
ES,M,Hugo
ES,M,Mateo
ES,M,Leo
ES,M,Lucas
ES,M,Manuel
ES,M,Daniel
ES,M,Alejandro
ES,M,Pablo
FI,F,Olivia
FI,F,Aino
FI,F,Aada
FI,F,Lilja
FI,F,Eevi
FI,F,Isla
FI,F,Helmi
FI,F,Venla
FI,F,Sofia
FI,F,Ellen
FI,M,Leo
FI,M,Eino
FI,M,Oliver
FI,M,Elias
FI,M,Onni
FI,M,Emil
FI,M,Eeli
FI,M,Toivo
FI,M,Leevi
FO,F,Lea
FO,F,Emma
FO,F,Julia
FO,F,Ria
FO,F,Isabella
FO,F,Nora
FO,F,Ronja
FO,M,Andrias
FO,M,Markus
FO,M,Mattias
FO,M,Adrian
FO,M,Gilli
FR,F,Jade
FR,F,Emma
FR,F,Louise
FR,F,Mia
FR,F,Alice
FR,F,Lina
FR,F,Ambre
FR,F,Rose
FR,F,Anna
FR,M,Gabriel
FR,M,Arthur
FR,M,Louis
FR,M,Lucas
FR,M,Adam
FR,M,Tiago
FR,M,Hugo
GB,F,Olivia
GB,F,Amelia
GB,F,Isla
GB,F,Ava
GB,F,Ivy
GB,F,Florence
GB,F,Lily
GB,F,Freya
GB,F,Mia
GB,F,Willow
GB,M,Noah
GB,M,George
GB,M,Oliver
GB,M,Muhammad
GB,M,Arthur
GB,M,Leo
GB,M,Harry
GB,M,Oscar
GB,M,Henry
GB,M,Theodore
GB,F,Olivia
GB,F,Amelia
GB,F,Isla
GB,F,Freya
GB,F,Ivy
GB,F,Rosie
GB,F,Ava
GB,F,Grace
GB,F,Lily
GB,F,Evie
GB,F,Mia
GB,M,Noah
GB,M,Oliver
GB,M,Arthur
GB,M,Theo
GB,M,Leo
GB,M,Charlie
GB,M,Archie
GB,M,George
GB,M,Jack
GB,M,Oscar
GB,F,Grace
GB,F,Emily
GB,F,Fiadh
GB,F,Olivia
GB,F,Isla
GB,F,Aoife
GB,F,Lily
GB,F,Annie
GB,F,Evie
GB,F,Freya
GB,F,Amelia
GB,M,James
GB,M,Jack
GB,M,Noah
GB,M,Theo
GB,M,Charlie
GB,M,Oliver
GB,M,Oisin
GB,M,Harry
GB,M,Cillian
GB,M,Thomas
GB,F,Olivia
GB,F,Isla
GB,F,Freya
GB,F,Millie
GB,F,Emily
GB,F,Amelia
GB,F,Grace
GB,F,Sophie
GB,F,Ava
GB,F,Ella
GB,F,Lily
GB,F,Charlotte
GB,M,Noah
GB,M,Jack
GB,M,Leo
GB,M,Harris
GB,M,Luca
GB,M,Oliver
GB,M,Rory
GB,M,Archie
GB,M,Alfie
GB,M,James
GB,M,Theo
GB,M,Finlay
GB,M,Lewis
GG,F,Olivia
GG,F,Charlotte
GG,F,Evie
GG,F,Florence
GG,F,Imogen
GG,F,Isla
GG,F,Penelope
GG,M,Luca
GG,M,Theodore
GG,M,Archie
GG,M,Leo
GG,M,Theo
GG,M,Arthur
GG,M,George
GG,M,Max
GG,M,Oscar
GG,M,Thomas
GG,M,William
GI,F,Sophia
GI,F,Ava
GI,F,Chloe
GI,F,Isabella
GI,F,Maya
GI,F,Olivia
GI,F,Anna
GI,F,Hannah
GI,M,Kai
GI,M,Max
GI,M,Daniel
GI,M,Hugo
GI,M,Jack
GI,M,Lucas
GI,M,Noah
GI,M,Oliver
GL,F,Ivaana
GL,F,Nivi
GL,F,Uiloq
GL,F,Niviaq
GL,F,Isabella
GL,F,Ivalu
GL,F,Pipaluk
GL,F,Malu
GL,F,Paninnguaq
GL,F,Aviana
GL,F,Maya
GL,F,Paneeraq
GL,M,Inuk
GL,M,Malik
GL,M,Minik
GL,M,Inunnguag
GL,M,Liam
GL,M,Ulloriaq
GL,M,Norsaq
GL,M,Aputsiaq
GL,M,Ivik
GL,M,Miki
GL,M,Maligiaq
GL,M,Noah
GL,M,Qillaq
GL,M,Inutsiaq
GL,M,Nuka
GL,M,Salik
GQ,F,Isabel
GQ,F,Esperanza
GQ,F,Milagrosa
GQ,M,Manuel
GQ,M,Juan
GQ,M,Antonio
HR,F,Mia
HR,F,Lucija
HR,F,Nika
HR,F,Rita
HR,F,Ema
HR,F,Mila
HR,F,Marta
HR,F,Sara
HR,F,Ana
HR,F,Dora
HR,M,Luka
HR,M,David
HR,M,Jakov
HR,M,Ivan
HR,M,Roko
HR,M,Petar
HR,M,Mateo
HR,M,Niko
HR,M,Matej
HR,M,Fran
HR,M,Josip
HT,F,Widelene
HT,F,Mirlande
HT,F,Myrlande
HT,F,Islande
HT,F,Lovelie
HT,F,Lovely
HT,F,Judeline
HT,F,Angeline
HT,F,Esther
HT,F,Chedeline
HT,F,Jessica
HT,M,Stevenson
HT,M,Stanley
HT,M,Samuel
HT,M,Peterson
HT,M,Daniel
HT,M,Wilson
HT,M,Jameson
HT,M,Evens
HT,M,Ricardo
HT,M,Emmanuel
HU,F,Hanna
HU,F,Anna
HU,F,Luca
HU,F,Emma
HU,F,Lili
HU,F,Lilien
HU,F,Lara
HU,M,Levente
HU,M,Dominik
HU,M,Bence
HU,M,Noel
HU,M,Marcell
IE,F,Emily
IE,F,Grace
IE,F,Fiadh
IE,F,Sophie
IE,F,Lily
IE,F,Ava
IE,F,Mia
IE,F,Ellie
IE,F,Olivia
IE,M,Jack
IE,M,Noah
IE,M,James
IE,M,Charlie
IE,M,Tadhg
IE,M,Liam
IE,M,Cillian
IE,M,Daniel
IL,M,Charbel
IL,M,Jude
IL,M,Niel
IL,M,Elias
IL,M,Liam
IL,M,George
IL,F,Lin
IL,F,Maria
IL,F,Sama
IL,F,Celine
IL,F,Leah
IL,M,Adam
IL,M,Taim
IL,M,Niel
IL,M,Amir
IL,M,Jude
IL,F,Mila
IL,F,Ayalah
IL,F,Lur
IL,F,Lin
IL,F,Yasmin
IL,M,Muhammad
IL,M,Ahmad
IL,M,Adam
IL,M,Yusef
IL,M,Omer
IL,M,Ali
IL,M,Abd
IL,M,Amir
IL,M,Ibrahim
IL,M,Mahmoud
IL,F,Maryam
IL,F,Shams
IL,F,Lyn
IL,F,Malek
IL,F,Jori
IL,F,Lian
IL,F,Mila
IL,F,Aline
IL,F,Nur
IL,F,Marya
IL,M,David
IL,M,Ariel
IL,M,Lavi
IL,M,Uri
IL,M,Refael
IL,M,Noam
IL,M,Eitan
IL,M,Ari
IL,M,Daniel
IL,M,Yehuda
IL,F,Avigail
IL,F,Tamar
IL,F,Noa
IL,F,Sarah
IL,F,Adele
IL,F,Maya
IL,F,Lia
IL,F,Ayala
IM,F,Lily
IM,F,Lillie
IM,F,Lilly
IM,F,Ella
IM,F,Emilia
IM,F,Emelia
IM,F,Emiliya
IM,F,Olivia
IM,F,Isla
IM,F,Isabella
IM,M,Noah
IM,M,Theo
IM,M,Theodore
IM,M,Jack
IM,M,Leo
IM,M,Alfie
IM,M,Archie
IM,M,Benjamin
IM,M,Edward
IN,F,Aditi
IN,F,Inaya
IN,F,Aarya
IN,F,Kiara
IN,F,Aadhya
IN,F,Vamika
IN,F,Pari
IN,F,Jiya
IN,F,Mehar
IN,F,Amayra
IN,M,Muhammad
IN,M,Shivansh
IN,M,Dhruv
IN,M,Kabir
IN,M,Vedant
IN,M,Kiaan
IN,M,Aarav
IN,M,Arjun
IN,M,Viraj
IN,M,Krishna
IQ,M,Ali
IQ,M,Muhammed
IQ,M,Hussein
IQ,M,Hydar
IQ,M,Ahmed
IQ,M,Omar
IQ,M,Hasan
IQ,M,Kathem
IQ,M,Abdullah
IQ,M,Ammar
