Country,Romanized Name
LK,Rathnayaka
LK,Edirisinghe
LK,Jayawardena
LK,Fonseka
LK,Sanjeewa
LK,Gunawardana
LK,Gunawardena
LK,Karunaratne
LK,Jayaweera
LK,Jayasekara
LK,Ranaweera
LK,Jayawardana
LK,Jayasuriya
LK,Madusanka
TR,Kaya
TR,Demir
TR,Arslan
TR,Aslan
TR,Kara
TR,Kurt
TW,Can
TW,Chan
TW,Chun
TW,Ting
TW,Lin
TW,Lam
TW,Lum
TW,Lim
TW,Liem
TW,Wong
TW,Wang
TW,Vang
TW,Ng
TW,Eng
TW,Ung
TW,Zoeng
TW,Cheung
TW,Chong
TW,Cheong
TW,Tiu
TW,Teo
TW,Teoh
TW,Tiong
TW,Li
TW,Lei
TW,Lee
TW,Li
TW,Le
TW,Lei
TW,Lee
TW,Wang
TW,Vong
TW,Heng
TW,Goh
TW,Gouw
TW,Woo
TW,Lau
TW,Lao
TW,Lou
TW,Low
TW,Coi
TW,Choi
TW,Choy
TW,Tsoi
TW,Toy
TW,Chua
TW,Choa
TW,Tsay
TW,Chai
TW,Joeng
TW,Yeung
TW,Yeong
TW,Ieong
TW,Eaw
TW,Young
AL,Hoxha
AL,Prifti
AL,Shehu
AL,Dervishi
AL,Bektashi
AL,Begu
AL,Gjoni
AL,Leka
AL,Gjoni
AL,Murati
AL,Mehmeti
AL,Hysi
AL,Gjika
AL,Marku
AL,Kola
AL,Kolla
AL,Nikolla
AL,Hasani
AL,Kristi
AL,Kristo
AL,Luka
AL,Brahimi
AL,Sinani
AL,Thanasi
AL,Halili
AL,Abazi
AL,Dibra
AL,Shkodra
AL,Prishtina
AL,Delvina
AL,Koroveshi
AL,Gega
AL,Gegaj
AL,Toska
AL,Toskaj
AL,Kelmendi
AL,Shkreli
AL,Berisha
AL,Krasniqi
AL,Gashi
AL,Kuqi
AL,Bardhi
AT,Gruber
AT,Huber
AT,Bauer
AT,Wagner
AT,Pichler
AT,Steiner
AT,Moser
AT,Mayer
AT,Hofer
AT,Leitner
AT,Berger
AT,Fuchs
AT,Eder
AT,Fischer
AT,Schmid
AT,Winkler
AT,Weber
AT,Schwarz
AT,Maier
AT,Schneider
AT,Reiter
AT,Mayr
AT,Schmidt
AT,Wimmer
AT,Egger
AT,Brunner
AT,Lang
AT,Baumgartner
AT,Auer
AT,Binder
AT,Lechner
AT,Wolf
AT,Wallner
AT,Aigner
AT,Ebner
AT,Koller
AT,Lehner
AT,Haas
AT,Schuster
AT,Heilig
BE,Peeters
BE,Janssens
BE,Maes
BE,Jacobs
BE,Mertens
BE,Willems
BE,Claes
BE,Goossens
BE,Wouters
BE,Dubois
BE,Lambert
BE,Dupont
BE,Martin
BE,Diallo
BE,Simon
BE,Dumont
BE,Leclercq
BE,Laurent
BE,Denis
BE,Lejeune
BE,Bah
BE,Barry
BE,Nguyen
BE,Sow
BE,Benali
HR,Horvat
HR,Novak
CZ,Svoboda
DK,Nielsen
DK,Jensen
DK,Hansen
DK,Pedersen
DK,Andersen
DK,Christensen
DK,Larsen
DK,Rasmussen
DK,Petersen
DK,Madsen
DK,Kristensen
DK,Olsen
DK,Thomsen
DK,Christiansen
DK,Poulsen
DK,Johansen
DK,Mortensen
FO,Joensen
FO,Hansen
FO,Jacobsen
FO,Olsen
FO,Petersen
FO,Poulsen
FO,Johannesen
FO,Thomsen
FO,Nielsen
FO,Rasmussen
FO,Djurhuus
FO,Johansen
FO,Simonsen
FO,Danielsen
FO,Jensen
FO,Mortensen
FO,Mikkelsen
FO,Dam
EE,Ivanov
EE,Tamm
EE,Saar
EE,Sepp
EE,Smirnov
EE,Vassiljev
EE,Petrov
EE,Kask
EE,Kukk
EE,Kuznetsov
EE,Rebane
EE,Karpin
EE,Ilves
EE,Mihhailov
EE,Pavlov
EE,Semjonov
EE,Koppel
EE,Andrejev
EE,Aleksejev
FI,Korhonen
FI,Virtanen
FI,Nieminen
FI,Laine
FI,Heikkinen
FI,Koskinen
FI,Lehtonen
FI,Lehtinen
FI,Saarinen
FI,Salminen
FI,Heinonen
FI,Niemi
FI,Kinnunen
FI,Salonen
FI,Turunen
FI,Salo
FI,Laitinen
FI,Tuominen
FI,Rantanen
FI,Karjalainen
FI,Jokinen
FI,Mattila
FI,Savolainen
FI,Lahtinen
FI,Ahonen
FR,Martin
FR,Bernard
FR,Dubois
FR,Thomas
FR,Robert
FR,Richard
FR,Petit
FR,Durand
FR,Leroy
FR,Moreau
FR,Simon
FR,Laurent
FR,Lefebvre
FR,Michel
FR,Garcia
FR,David
FR,Bertrand
FR,Roux
FR,Vincent
FR,Fournier
FR,Morel
FR,Girard
FR,Mercier
FR,Dupont
FR,Lambert
FR,Bonnet
FR,Martinez
DE,Schmidt
DE,Schneider
DE,Fischer
DE,Meyer
DE,Weber
DE,Wagner
DE,Schulz
DE,Becker
DE,Hoffmann
HU,Nagy
HU,Varga
HU,Kiss
HU,Farkas
HU,Balogh
HU,Papp
HU,Lakatos
HU,Simon
HU,Fekete
IS,Thorarensen
IS,Hansen
IS,Olsen
IS,Andersen
IS,Petersen
IS,Nielsen
IS,Waage
IS,Bergmann
IS,Briem
IS,Thorlacius
IS,Jensen
IS,Scheving
IS,Petersen
IS,Kvaran
IS,Fjeldsted
IS,Berndsen
IE,Kelly
IE,Sullivan
IE,Walsh
IE,Byrne
IE,Ryan
IE,Reilly
IE,Gallagher
IE,Doherty
IE,Quinn
IE,Moore
IT,Rossi
IT,Russo
IT,Ferrari
IT,Esposito
IT,Bianchi
IT,Romano
IT,Colombo
IT,Bruno
IT,Ricci
IT,Greco
IT,Marino
IT,Gallo
IT,Conti
IT,Costa
IT,Mancini
IT,Giordano
IT,Rizzo
IT,Lombardi
IT,Barbieri
IT,Moretti
IT,Fontana
IT,Caruso
IT,Mariani
IT,Ferrara
IT,Santoro
IT,Rinaldi
IT,Leone
IT,Longo
IT,Galli
IT,Martini
IT,Martinelli
IT,Serra
IT,Conte
IT,Vitale
IT,Marchetti
IT,Messina
IT,Gentile
IT,Villa
IT,Marini
IT,Lombardo
IT,Coppola
IT,Ferri
IT,Parisi
IT,Bianco
IT,Amato
IT,Fabbri
IT,Gatti
IT,Sala
IT,Morelli
IT,Grasso
IT,Pellegrini
IT,Ferraro
IT,Monti
IT,Palumbo
IT,Grassi
IT,Testa
IT,Valentini
IT,Carbone
IT,Benedetti
IT,Silvestri
IT,Farina
IT,Martino
IT,Bernardi
IT,Caputo
IT,Mazza
IT,Sanna
IT,Fiore
IT,Pellegrino
IT,Giuliani
IT,Rizzi
IT,Cattaneo
IT,Rossetti
IT,Orlando
IT,Basile
IT,Neri
IT,Barone
IT,Palmieri
IT,Riva
IT,Romeo
IT,Franco
IT,Sorrentino
IT,Pagano
IT,Piras
IT,Ruggiero
IT,Montanari
IT,Battaglia
IT,Bellini
IT,Castelli
IT,Guerra
IT,Poli
IT,Valente
IT,Ferretti
XK,Krasniqi
XK,Gashi
XK,Berisha
XK,Morina
XK,Shala
XK,Bytyqi
XK,Hasani
XK,Kastrati
XK,Kryeziu
XK,Hoti
XK,Fatime
XK,Bajram
XK,Emine
XK,Bekim
XK,Valon
XK,Egzon
XK,Arben
XK,Ramadan
XK,Muhamet
LV,Jansons
LV,Ozols
LV,Balodis
LV,Vanags
LT,Kazlauskas
LT,Jankauskas
LT,Petrauskas
LT,Vasiliauskas
LT,Butkus
LT,Paulauskas
LT,Urbonas
LT,Kavaliauskas
LU,Schmit
LU,Muller
LU,Weber
LU,Hoffmann
LU,Wagner
LU,Thill
LU,Schmitz
LU,Schroeder
LU,Reuter
LU,Klein
LU,Becker
LU,Kieffer
LU,Kremer
LU,Faber
LU,Meyer
LU,Schneider
LU,Weiss
